"id","ground_truth","GPT5_predicted","GPT4_predicted","correct_label","possible_reason_GPT5","possible_reason_GPT4","description"
"280","Async wait","Async wait","Test order dependency","","","","[PR Linked Issue] ### Failure cluster [46c1b1ee59dffad82fad](https://storage.googleapis.com/k8s-triage/index.html?pr=1#46c1b1ee59dffad82fad)    ##### Error text:  ```  === RUN   TestFrameworkHandler_IterateOverWaitingPods/pods_with_different_profiles_are_waiting_on_permit_stage      framework.go:381: I0229 10:48:13.714983] the scheduler starts to work with those plugins Plugins={""PreEnqueue"":{""Enabled"":null,""Disabled"":null},""QueueSort"":{""Enabled"":[{""Name"":""PrioritySort"",""Weight"":0}],""Disabled"":null},""PreFilter"":{""Enabled"":null,""Disabled"":null},""Filter"":{""Enabled"":null,""Disabled"":null},""PostFilter"":{""Enabled"":null,""Disabled"":null},""PreScore"":{""Enabled"":null,""Disabled"":null},""Score"":{""Enabled"":null,""Disabled"":null},""Reserve"":{""Enabled"":null,""Disabled"":null},""Permit"":{""Enabled"":[{""Name"":""fakePermit"",""Weight"":0}],""Disabled"":null},""PreBind"":{""Enabled"":null,""Disabled"":null},""Bind"":{""Enabled"":[{""Name"":""DefaultBinder"",""Weight"":0}],""Disabled"":null},""PostBind"":{""Enabled"":null,""Disabled"":null},""MultiPoint"":{""Enabled"":null,""Disabled"":null}}      framework.go:381: I0229 10:48:13.715309] the scheduler starts to work with those plugins Plugins={""PreEnqueue"":{""Enabled"":null,""Disabled"":null},""QueueSort"":{""Enabled"":[{""Name"":""PrioritySort"",""Weight"":0}],""Disabled"":null},""PreFilter"":{""Enabled"":null,""Disabled"":null},""Filter"":{""Enabled"":null,""Disabled"":null},""PostFilter"":{""Enabled"":null,""Disabled"":null},""PreScore"":{""Enabled"":null,""Disabled"":null},""Score"":{""Enabled"":null,""Disabled"":null},""Reserve"":{""Enabled"":null,""Disabled"":null},""Permit"":{""Enabled"":[{""Name"":""fakePermit"",""Weight"":0}],""Disabled"":null},""PreBind"":{""Enabled"":null,""Disabled"":null},""Bind"":{""Enabled"":[{""Name"":""DefaultBinder"",""Weight"":0}],""Disabled"":null},""PostBind"":{""Enabled"":null,""Disabled"":null},""MultiPoint"":{""Enabled"":null,""Disabled"":null}}      framework.go:381: I0229 10:48:13.715630] the scheduler starts to work with those plugins Plugins={""PreEnqueue"":{""Enabled"":null,""Disabled"":null},""QueueSort"":{""Enabled"":[{""Name"":""PrioritySort"",""Weight"":0}],""Disabled"":null},""PreFilter"":{""Enabled"":null,""Disabled"":null},""Filter"":{""Enabled"":null,""Disabled"":null},""PostFilter"":{""Enabled"":null,""Disabled"":null},""PreScore"":{""Enabled"":null,""Disabled"":null},""Score"":{""Enabled"":null,""Disabled"":null},""Reserve"":{""Enabled"":null,""Disabled"":null},""Permit"":{""Enabled"":[{""Name"":""fakePermit"",""Weight"":0}],""Disabled"":null},""PreBind"":{""Enabled"":null,""Disabled"":null},""Bind"":{""Enabled"":[{""Name"":""DefaultBinder"",""Weight"":0}],""Disabled"":null},""PostBind"":{""Enabled"":null,""Disabled"":null},""MultiPoint"":{""Enabled"":null,""Disabled"":null}}      eventhandlers.go:75: I0229 10:48:13.717736] Add event for node node=""node1""      node_tree.go:65: I0229 10:48:13.717988] Added node in listed group to NodeTree node=""node1"" zone=""""      eventhandlers.go:75: I0229 10:48:13.718196] Add event for node node=""node2""      node_tree.go:65: I0229 10:48:13.718385] Added node in listed group to NodeTree node=""node2"" zone=""""      eventhandlers.go:75: I0229 10:48:13.718588] Add event for node node=""node3""      node_tree.go:65: I0229 10:48:13.718793] Added node in listed group to NodeTree node=""node3"" zone=""""      eventhandlers.go:128: I0229 10:48:13.718980] Add event for unscheduled pod pod=""pod1""      scheduling_queue.go:595: I0229 10:48:13.719138] Pod moved to an internal scheduling queue pod=""pod1"" event=""PodAdd"" queue=""Active""      schedule_one.go:84: I0229 10:48:13.719250] About to try and schedule pod pod=""pod1""      schedule_one.go:97: I0229 10:48:13.719321] Attempting to schedule pod pod=""pod1""      framework.go:1475: I0229 10:48:13.719623] Permit: One or more plugins asked to wait and no plugin rejected pod node=""node1"" pod=""pod1""      framework.go:1500: I0229 10:48:13.719889] Pod waiting on permit pod=""pod1""      eventhandlers.go:128: I0229 10:48:13.720049] Add event for unscheduled pod pod=""pod2""      scheduling_queue.go:595: I0229 10:48:13.720184] Pod moved to an internal scheduling queue pod=""pod2"" event=""PodAdd"" queue=""Active""      schedule_one.go:84: I0229 10:48:13.720358] About to try and schedule pod pod=""pod2""      schedule_one.go:97: I0229 10:48:13.720451] Attempting to schedule pod pod=""pod2""      framework.go:1475: I0229 10:48:13.720791] Permit: One or more plugins asked to wait and no plugin rejected pod node=""node2"" pod=""pod2""      framework.go:1500: I0229 10:48:13.721010] Pod waiting on permit pod=""pod2""      eventhandlers.go:128: I0229 10:48:13.721439] Add event for unscheduled pod pod=""pod3""      scheduling_queue.go:595: I0229 10:48:13.721732] Pod moved to an internal scheduling queue pod=""pod3"" event=""PodAdd"" queue=""Active""      eventhandlers.go:128: I0229 10:48:13.721917] Add event for unscheduled pod pod=""pod4""      schedule_one.go:84: I0229 10:48:13.722078] About to try and schedule pod pod=""pod3""      schedule_one.go:97: I0229 10:48:13.722236] Attempting to schedule pod pod=""pod3""      scheduling_queue.go:595: I0229 10:48:13.722449] Pod moved to an internal scheduling queue pod=""pod4"" event=""PodAdd"" queue=""Active""      framework.go:1475: I0229 10:48:13.722729] Permit: One or more plugins asked to wait and no plugin rejected pod node=""node3"" pod=""pod3""      framework.go:1500: I0229 10:48:13.723032] Pod waiting on permit pod=""pod3""      schedule_one.go:84: I0229 10:48:13.723270] About to try and schedule pod pod=""pod4""      schedule_one.go:97: I0229 10:48:13.723413] Attempting to schedule pod pod=""pod4""      scheduler_test.go:1044: Unexpected waitingPods in scheduler profile test-scheduler-profile-1, expect: []string{""pod1"", ""pod2"", ""pod3"", ""pod4""}, got: []string{""pod1"", ""pod2"", ""pod3""}      --- FAIL: TestFrameworkHandler_IterateOverWaitingPods/pods_with_different_profiles_are_waiting_on_permit_stage (0.01s)  ```    #### Recent failures:  [3/1/2024, 7:14:16 AM pr:pull-kubernetes-unit](https://prow.k8s.io/view/gs/kubernetes-jenkins/pr-logs/pull/123614/pull-kubernetes-unit/1763538031354056704)  [2/29/2024, 5:28:43 AM pr:pull-kubernetes-unit](https://prow.k8s.io/view/gs/kubernetes-jenkins/pr-logs/pull/123555/pull-kubernetes-unit/1763149087500144640)  [2/28/2024, 12:17:55 PM pr:pull-kubernetes-unit](https://prow.k8s.io/view/gs/kubernetes-jenkins/pr-logs/pull/123562/pull-kubernetes-unit/1762889666685571072)      /kind failing-test  <!-- If this is a flake, please add: /kind flake -->  /kind flake    <!-- Please assign a SIG using: /sig SIG-NAME -->  /sig scheduling"
"283","Async wait","I/O","I/O","","","","Resolves : https://issues.apache.org/jira/browse/KAFKA-16518    - Adds a new argument ""standalone"" to kafka-storage.sh  - If standalone mode, creates a checkpoint file in metadata dir ${kafkaConfig.metadataLogDir}/__cluster_metadata-0/      ### Committer Checklist (excluded from commit message)  - [ ] Verify design and implementation   - [ ] Verify test coverage and CI build status  - [ ] Verify documentation (including upgrade notes)"
"285","Unordered collections","Time","Test order dependency","","","","PRs backported:    - #9909   - #9918  - #9919   - #9920  - #9922   - #9937   - #9938   - #9939   - #9940   - #9941   - #9948   - #9950   - #9953   - #9954   - #9961   - #9962   - #9963   - #9966   - #9967   - #9969  - #9971  - #9972   - #9934   - #9968   - use extension ref `release-1.9`"
"286","Async wait","Time","Network","","","","Fixes #10853    I think the issue is that we do DNS client request to the DNS caching server, and expect the request to fail on client side, as caching server doesn't respond in time (as the server is waiting for a response).    Make sure we use a short timeout on our client side, so that we time out before a server does."
"287","Async wait","Async wait","Concurrency","","","","This enables golangci-lint via build tags for integration tests (this  should have been done long ago!), and fixes the linting errors.    Two tests were updated to reduce flakiness:    * apply config: wait for nodes to issue ""boot done"" sequence event  before proceeding  * recover: kill pods even if they appear after the initial set gets  killed (potential race condition with previous test).    Signed-off-by: Andrey Smirnov <smirnov.andrey@gmail.com>"
"289","Async wait","Time","Time","","","","Fixes #1291    ### Motivation    The `MaxTime` setting for AckGroupingTracker is too short at only 10,000 nanoseconds.  This causes the test very flaky.    ### Modifications    - Change the `MaxTime` to 10 seconds    ### Verifying this change    This change is a trivial rework / code cleanup without any test coverage.      ### Does this pull request potentially affect one of the following parts:    *If `yes` was chosen, please highlight the changes*      - Dependencies (does it add or upgrade a dependency): (yes / no)    - The public API: (yes / no)    - The schema: (yes / no / don't know)    - The default values of configurations: (yes / no)    - The wire protocol: (yes / no)    ### Documentation      - Does this pull request introduce a new feature? (yes / no)    - If yes, how is the feature documented? (not applicable / docs / GoDocs / not documented)    - If a feature is not applicable for documentation, explain why?    - If a feature is not documented yet in this PR, please create a followup issue for adding the documentation"
"290","Test order dependency","I/O","I/O","","","","Follow-up of #10811 to ignore other types of `FileSystemException` like `DirectoryNotEmptyException` as well    ```  TestDataFrameWrites > testFaultToleranceOnWrite() > format = parquet FAILED      java.nio.file.DirectoryNotEmptyException: /tmp/junit-7768099913831474039/parquet/test          at java.base/sun.nio.fs.UnixFileSystemProvider.implDelete(UnixFileSystemProvider.java:289)          at java.base/sun.nio.fs.AbstractFileSystemProvider.delete(AbstractFileSystemProvider.java:104)          at java.base/java.nio.file.Files.delete(Files.java:1152)          at org.apache.commons.io.FileUtils.delete(FileUtils.java:1222)          at org.apache.commons.io.FileUtils.deleteDirectory(FileUtils.java:1242)          at org.apache.iceberg.spark.source.TestDataFrameWrites.testFaultToleranceOnWrite(TestDataFrameWrites.java:427)  ```    cc @Fokko @nastra"
"291","Randomness","Time","Test order dependency","","","","Closes #12889"
"293","Test order dependency","Time","Resource leak","","","","### Rationale for this change Fixing flaky bloom filter memory check test  ### What changes are included in this PR? Added an additional runtime.GC() call to ensure the releases are called."
"294","Concurrency","I/O","I/O","","","","### Rationale for this change Additional checks for `io.EOF` to avoid flaky tests"
"295","Async wait","Time","Time","","","","[PR Linked Issue] **Build Scans:** - [elasticsearch-intake #27235 / part4](https://gradle-enterprise.elastic.co/s/gf3w65zgpsugy) - [elasticsearch-pull-request #87067 / part-4](https://gradle-enterprise.elastic.co/s/ptir5haak4lju) - [elasticsearch-pull-request #87067 / part-4-fips](https://gradle-enterprise.elastic.co/s/2inhl3fgi7sae)  **Reproduction Line:** ``` ./gradlew "":x-pack:plugin:security:test"" --tests ""org.elasticsearch.xpack.security.authc.AuthenticationServiceTests.testInvalidToken"" -Dtests.seed=3801949404B71D88 -Dtests.locale=nl-SX -Dtests.timezone=Etc/Universal -Druntime.java=24 ```  **Applicable branches:** main  **Reproduces locally?:** N/A  **Failure History:** [See dashboard](https://es-delivery-stats.elastic.dev/app/dashboards#/view/dcec9e60-72ac-11ee-8f39-55975ded9e63?_g=(refreshInterval:(pause:!t,value:60000),time:(from:now-7d%2Fd,to:now))&_a=(controlGroupState:(initialChildControlState:('0c0c9cb8-ccd2-45c6-9b13-96bac4abc542':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:task.keyword,order:0,selectedOptions:!(),title:'GradleTask',type:optionsListControl),'4e6ad9d6-6fdc-4fcc-bf1a-aa6ca79e0850':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:className.keyword,order:1,selectedOptions:!(org.elasticsearch.xpack.security.authc.AuthenticationServiceTests),title:'Suite',type:optionsListControl),'144933da-5c1b-4257-a969-7f43455a7901':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:name.keyword,order:2,selectedOptions:!('testInvalidToken'),title:'Test',type:optionsListControl)))))  **Failure Message:** ``` java.lang.Exception: Test abandoned because suite timeout was reached. ```  **Issue Reasons:** - [main] 3 failures in test testInvalidToken (1.3% fail rate in 228 executions)  **Note:** This issue was created using new test triage automation. Please report issues or feedback to es-delivery."
"296","Randomness","Concurrency","Concurrency","","","","[PR Linked Issue] **Build Scans:** - [elasticsearch-intake #27158 / part3](https://gradle-enterprise.elastic.co/s/akaigagd47vke) - [elasticsearch-periodic-platform-support #10137 / rocky-9_platform-support-unix](https://gradle-enterprise.elastic.co/s/7266jgkv5xaqy)  **Reproduction Line:** ``` ./gradlew "":x-pack:plugin:esql:internalClusterTest"" --tests ""org.elasticsearch.xpack.esql.action.RandomizedTimeSeriesIT.testGroupByNothing"" -Dtests.seed=3050CE9CE9791881 -Dtests.locale=sa -Dtests.timezone=Australia/LHI -Druntime.java=24 ```  **Applicable branches:** main  **Reproduces locally?:** N/A  **Failure History:** [See dashboard](https://es-delivery-stats.elastic.dev/app/dashboards#/view/dcec9e60-72ac-11ee-8f39-55975ded9e63?_g=(refreshInterval:(pause:!t,value:60000),time:(from:now-7d%2Fd,to:now))&_a=(controlGroupState:(initialChildControlState:('0c0c9cb8-ccd2-45c6-9b13-96bac4abc542':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:task.keyword,order:0,selectedOptions:!(),title:'GradleTask',type:optionsListControl),'4e6ad9d6-6fdc-4fcc-bf1a-aa6ca79e0850':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:className.keyword,order:1,selectedOptions:!(org.elasticsearch.xpack.esql.action.RandomizedTimeSeriesIT),title:'Suite',type:optionsListControl),'144933da-5c1b-4257-a969-7f43455a7901':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:name.keyword,order:2,selectedOptions:!('testGroupByNothing'),title:'Test',type:optionsListControl)))))  **Failure Message:** ``` org.elasticsearch.action.bulk.IndexDocFailureStoreStatus$ExceptionWithFailureStoreStatus: [.ds-tsit_ds-2025.08.20-000001/TEfC-UbzS46u74MtBQWqXA][[.ds-tsit_ds-2025.08.20-000001][0]] org.elasticsearch.index.engine.VersionConflictEngineException: [C49S8X6g-QjW9uynAAABmMd3qH4][KBkJUGhjrYx0kKOigCXrLeK0RcVVTL_itQLi69ku_AIJqqsrijofpOU@2025-08-20T12:32:44.670Z]: version conflict, document already exists (current version [1]) ```  **Issue Reasons:** - [main] 2 failures in test testGroupByNothing (1.7% fail rate in 118 executions)  **Note:** This issue was created using new test triage automation. Please report issues or feedback to es-delivery."
"297","Concurrency","Async wait","Test order dependency","","","","[PR Linked Issue] **Build Scans:** - [elasticsearch-periodic-platform-support #9255 / windows-2025_checkpart1_platform-support-windows](https://gradle-enterprise.elastic.co/s/wrqmjkr2q5tv2) - [elasticsearch-periodic-platform-support #9227 / amazonlinux-2023_platform-support-aws](https://gradle-enterprise.elastic.co/s/lnzqxbgk5pjyi) - [elasticsearch-periodic-platform-support #9227 / oraclelinux-9_platform-support-unix](https://gradle-enterprise.elastic.co/s/bc573kel6n2ae)  **Reproduction Line:** ``` gradlew "":server:internalClusterTest"" --tests ""org.elasticsearch.search.aggregations.bucket.FiltersCancellationIT.testFiltersSubAggsCancellation"" -Dtests.seed=E591B05A93049B8B -Dtests.locale=fr-TG -Dtests.timezone=US/Eastern -Druntime.java=24 ```  **Applicable branches:** main  **Reproduces locally?:** N/A  **Failure History:** [See dashboard](https://es-delivery-stats.elastic.dev/app/dashboards#/view/dcec9e60-72ac-11ee-8f39-55975ded9e63?_g=(refreshInterval:(pause:!t,value:60000),time:(from:now-7d%2Fd,to:now))&_a=(controlGroupState:(initialChildControlState:('0c0c9cb8-ccd2-45c6-9b13-96bac4abc542':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:task.keyword,order:0,selectedOptions:!(),title:'GradleTask',type:optionsListControl),'4e6ad9d6-6fdc-4fcc-bf1a-aa6ca79e0850':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:className.keyword,order:1,selectedOptions:!(org.elasticsearch.search.aggregations.bucket.FiltersCancellationIT),title:'Suite',type:optionsListControl),'144933da-5c1b-4257-a969-7f43455a7901':(dataViewId:fbbdc689-be23-4b3d-8057-aa402e9ed0c5,fieldName:name.keyword,order:2,selectedOptions:!('testFiltersSubAggsCancellation'),title:'Test',type:optionsListControl)))))  **Failure Message:** ``` java.lang.AssertionError: null ```  **Issue Reasons:** - [main] 3 failures in test testFiltersSubAggsCancellation (1.1% fail rate in 263 executions) - [main] 2 failures in pipeline elasticsearch-periodic-platform-support (40.0% fail rate in 5 executions)  **Note:** This issue was created using new test triage automation. Please report issues or feedback to es-delivery."
"301","Randomness","Concurrency","Concurrency","","","","## PR Summary    Since parametrizing the test allows it to run in parallel, this makes it flaky, as one process can overwrite the test result image of another.    Our standard way for dealing with tests that use the same baseline image is to pass duplicate filenames to `image_comparison`, because that is serialized.    This is basically the same as #16656 for `test_stem`.    ## PR Checklist    - [x] Has Pytest style unit tests  - [x] Code is [Flake 8](http://flake8.pycqa.org/en/latest/) compliant  - [N/A] New features are documented, with examples if plot related  - [N/A] Documentation is sphinx and numpydoc compliant  - [N/A] Added an entry to doc/users/next_whats_new/ if major new feature (follow instructions in README.rst there)  - [N/A] Documented in doc/api/api_changes.rst if API changed in a backward-incompatible way"
"302","Concurrency","Randomness","Randomness","","","","## PR summary    For labelcolor={linecolor,markeredgecolor,markerfacecolor}, text will match the specified attribute if consistent, but fall back to black if they differ within a single labeled artist.    These tests use 10 random colours out of the ['r', 'g', 'b'] set, so 3 (all red, all green, all blue) out of 3**10 will result in the text _not_ being black. This is rare (0.0051%), but does happen once in a while (e.g., https://github.com/matplotlib/matplotlib/actions/runs/10967975776/job/30458622005).    Instead, just hard-code some different colours in the test.    ## PR checklist    - [n/a] ""closes #0000"" is in the body of the PR description to [link the related issue](https://docs.github.com/en/issues/tracking-your-work-with-issues/linking-a-pull-request-to-an-issue)  - [x] new and changed code is [tested](https://matplotlib.org/devdocs/devel/testing.html)  - [n/a] *Plotting related* features are demonstrated in an [example](https://matplotlib.org/devdocs/devel/document.html#write-examples-and-tutorials)  - [n/a] *New Features* and *API Changes* are noted with a [directive and release note](https://matplotlib.org/devdocs/devel/api_changes.html#announce-changes-deprecations-and-new-features)  - [n/a] Documentation complies with [general](https://matplotlib.org/devdocs/devel/document.html#write-rest-pages) and [docstring](https://matplotlib.org/devdocs/devel/document.html#write-docstrings) guidelines"
"305","Floating point operations","Time","Floating point operations","","","","Further lower threshold for F64 in //xla/service/gpu/model:hlo_op_profiler_test  This was originally proposed in https://github.com/openxla/xla/pull/16102, but I still ran into issue where it failed by slight margin:  ``` Expected: (profiler.MeasureClockCyclesPerOp(HloOpcode::kDivide, F64) .value() .clock_cycles()) > (300), actual: 296 vs 300 ```  That said, I ran 1000 tests and did not encounter this issue. Reducing the threshold to 280 since the bound seems very close and flaky test is no good either way."
"306","Test order dependency","I/O","Test order dependency","","","","[IFRT] Remove the error message mentioning an invalid output target  A log message was being generated when an invalid output target was specified and being ignored. This caused some OSS tests to fail in a flaky manner, so logging is removed in this change."
"307","Test order dependency","Async wait","Async wait","","","","[PR Linked Issue] A test failed on a tracked branch  ``` StaleElementReferenceError: stale element reference: stale element not found in the current frame   (Session info: chrome=123.0.6312.105)     at Object.throwDecodedError (node_modules/selenium-webdriver/lib/error.js:521:15)     at parseHttpResponse (node_modules/selenium-webdriver/lib/http.js:510:13)     at Executor.execute (node_modules/selenium-webdriver/lib/http.js:443:28)     at processTicksAndRejections (node:internal/process/task_queues:95:5)     at Task.exec (prevent_parallel_calls.ts:28:20) {   remoteStacktrace: '#0 0x562f61afa873 <unknown>\n' +     '#1 0x562f617f08c6 <unknown>\n' +     '#2 0x562f617f5e75 <unknown>\n' +     '#3 0x562f617f7bce <unknown>\n' +     '#4 0x562f617f7c5c <unknown>\n' +     '#5 0x562f61835ae2 <unknown>\n' +     '#6 0x562f6185d5a2 <unknown>\n' +     '#7 0x562f6182fe98 <unknown>\n' +     '#8 0x562f6185d76e <unknown>\n' +     '#9 0x562f6187bc19 <unknown>\n' +     '#10 0x562f6185d343 <unknown>\n' +     '#11 0x562f6182e593 <unknown>\n' +     '#12 0x562f6182ef5e <unknown>\n' +     '#13 0x562f61abe85b <unknown>\n' +     '#14 0x562f61ac27b5 <unknown>\n' +     '#15 0x562f61aac581 <unknown>\n' +     '#16 0x562f61ac3342 <unknown>\n' +     '#17 0x562f61a9188f <unknown>\n' +     '#18 0x562f61ae9738 <unknown>\n' +     '#19 0x562f61ae990b <unknown>\n' +     '#20 0x562f61af99c4 <unknown>\n' +     '#21 0x7fbdefe8b609 start_thread\n' } ```  First failure: [CI Build - main](https://buildkite.com/elastic/kibana-on-merge/builds/43375#018eb290-51a2-49ec-a9c7-a34017c17388)  <!-- kibanaCiData = {""failed-test"":{""test.class"":""Chrome X-Pack UI Functional Tests.x-pack/test/functional/apps/lens/group4/show_underlying_data_dashboard·ts"",""test.name"":""lens app - group 4 lens show underlying data from dashboard should bring both dashboard context and visualization context to discover"",""test.failCount"":2}} -->"
"311","Test order dependency","Concurrency","Concurrency","","","","* remove casts  * generalize `is_valid_sample_rate` to return the validated float  * added a `validate_scopes` helper method to validate the scopes entry on the context and return the narrowed type  * added a `get_typed_attribute` helper method to narrow the type on getting attributes from otel  * fix a flaky test on gevent"
"312","Concurrency","Async wait","Async wait","","","","### What changes were proposed in this pull request?  This PR aims to fix flaky tests in `SparkConnectServiceSuite` which are caused by `executorHolder` [undefined](https://github.com/apache/spark/blob/ab9a63626018156b3e0f267f14409c30031692b7/sql/connect/server/src/test/scala/org/apache/spark/sql/connect/planner/SparkConnectServiceSuite.scala#L908).  The conditions to reproduce this issue are:    (1) The operation finishes before its `executeHolder` is set in [MockSparkListener#onOtherEvent](https://github.com/apache/spark/blob/ab9a63626018156b3e0f267f14409c30031692b7/sql/connect/server/src/test/scala/org/apache/spark/sql/connect/planner/SparkConnectServiceSuite.scala#L961).  (2) `executeHolder` is accessed through calling `verifyEvents.onComplete` after the operation finishes.     `SparkListenerConnectOperationStarted` is posted asynchronously with the corresponding operation so the condition (1) can be met. After an operation finishes, `executeHolder` is [removed from a map](https://github.com/apache/spark/blob/af16aa8e11c223642f928b0b9893854a851d70bb/sql/connect/server/src/main/scala/org/apache/spark/sql/connect/service/SparkConnectExecutionManager.scala#L153) so if the condition (1) is met, `executeHolder` is never set because `SparkConnectService.executionManager.getExecuteHolder` consistently returns `None`.    One example of the test affected by this issue is `SPARK-43923: commands send events - get_resources_command`.  You can easily reproduce this issue by inserting sleep into `MockSparkListener#onOtherEvent` like as follows.    ```     val executeKey =       ExecuteKey(sessionHolder.userId, sessionHolder.sessionId, e.operationId)  +  Thread.sleep(1000)     executeHolder = SparkConnectService.executionManager.getExecuteHolder(executeKey)  ```    And then, run test.  ```  $ build/sbt 'connect/testOnly org.apache.spark.sql.connect.planner.SparkConnectServiceSuite -- -z ""get_resources_command""'  ```  To resolve this issue, this PR proposes:    * Change `VerifyEvents#onCompleted` just to assert `executeHolder.eventsManager.getProducedRowCount == producedRowCount`  * Call `VerifyEvents#onCompleted` from `StreamObserver#onCompleted`  * Add `VerifyEvents#assertClosed` to check if the status is `Closed`    ### Why are the changes needed?  For test stability.    ### Does this PR introduce _any_ user-facing change?  No.    ### How was this patch tested?  Inserting `Thread.sleep(1000)` like mentioned above and then run `SparkConnectServiceSuite`.    ### Was this patch authored or co-authored using generative AI tooling?  No."
"314","Async wait","Concurrency","Test order dependency","","","","This PR moves the topic creation before consumer creations in `PlaintextAdminIntegrationTest.testListGroups`, to avoid potential errors if consumer creates topic due to metadata update.  See discussion https://github.com/apache/kafka/pull/20244#discussion_r2325557949  Reviewers: @chia7712, bbejeck@apache.org"
"316","OS","Time","Test order dependency","","","","### Motivation  I'm making this change for clarification in the Getting Started guide which is the gateway for new users to Pulsar. ### Modifications  Updated documentation. ### Result  Just the documentation."
"319","Async wait","I/O","I/O","","","","This issue can be caused by a non-existing path but also a misunderstanding from the config file. A short example will help the user."
"320","Time","Time","Test order dependency","","","","<!--  Thank you for contributing! Please make sure that your code changes  are covered with tests. And in case of new features or big changes  remember to adjust the documentation.    Feel free to ping committers for the review!    In case of an existing issue, reference it using one of the following:    closes: #ISSUE  related: #ISSUE    How to write a good git commit message:  http://chris.beams.io/posts/git-commit/  -->    ---  **^ Add meaningful description above**    Read the **[Pull Request Guidelines](https://github.com/apache/airflow/blob/main/CONTRIBUTING.rst#pull-request-guidelines)** for more information.  In case of fundamental code changes, an Airflow Improvement Proposal ([AIP](https://cwiki.apache.org/confluence/display/AIRFLOW/Airflow+Improvement+Proposals)) is needed.  In case of a new dependency, check compliance with the [ASF 3rd Party License Policy](https://www.apache.org/legal/resolved.html#category-x).  In case of backwards incompatible changes please leave a note in a newsfragment file, named `{pr_number}.significant.rst` or `{issue_number}.significant.rst`, in [newsfragments](https://github.com/apache/airflow/tree/main/newsfragments)."
"326","Async wait","Async wait","Time","","","","Set `getNumHomes: 1` to enable the 567 ms or 2 seconds of wait for the server to be ready in `TestServerPathEncodingIssues/Unicode_paths` and `TestServerPathEncodingIssues/Windows_multilingual_404`.    Fixes #10332    ---    Hi @bep, I hope this is the right fix.  Besides waiting for the GitHub Actions CI test result, I'll be uploading 0.104.2-2 to Debian shortly and will report back if these tests pass the very first time on all architectures."
"328","Async wait","Time","Network","","","","[PR Linked Issue] `contentTracing captured events include V8 samples from the main process` has been flaking a fair amount on Appveyor as of late.    See [here](https://ci.appveyor.com/project/electron-bot/electron-x64-testing/builds/47184539/job/6ycj2f45a7flb0dc/tests) for example."
"330","Async wait","Async wait","Time","","","","#### Description of Change I'm not sure what event to hook here, so poll instead.  #### Checklist <!-- Remove items that do not apply. For completed items, change [ ] to [x]. -->  - [x] PR description included and stakeholders cc'd - [x] `npm test` passes - [x] tests are [changed or added](https://github.com/electron/electron/blob/master/docs/development/testing.md) - [x] PR title follows semantic [commit guidelines](https://github.com/electron/electron/blob/master/docs/development/pull-requests.md#commit-message-guidelines) - [x] This is **NOT A BREAKING CHANGE**. Breaking changes may not be merged to master until 11-x-y is branched.  #### Release Notes  Notes: none"
"336","Randomness","Time","Concurrency","","","","Let's test CI.."
"337","Async wait","Network","Unordered collections","","","","Removed white supremacist language."
"338","Concurrency","Async wait","Async wait","","","","This PR implements the Fullscreen API.     The final commit also adds some Qt UI (an ""exit fullscreen"" button that animates from the top down, sort of like how Chrome does it, and also Firefox). For Qt-backends, the escape key also exits out of fullscreen, fully.    The spec can be found [here](https://fullscreen.spec.whatwg.org/).    New web platform test results (fullscreen/api) with this patch series applied:    ```  Ran 57 tests finished in 13.7 seconds.    • 36 ran as expected. 0 tests skipped.    • 1 tests had errors unexpectedly    • 1 tests timed out unexpectedly    • 21 tests had unexpected subtest results  ```  (up from 0 expected to 36. Another test succeeds when #4329 is applied)    Additional work that needs to happen:  - https://fullscreen.spec.whatwg.org/#dom-document-fullscreenenabled needs to be implemented fully, where a document's ""allowed to use"" can be deterimined by the `allowFullscreen` attribute set on an iframe. This attribute can not be changed dynamically and once set for a document, is set for the rest of it's life time.    Additional work that's required can be determined by the WPT suite."
